date,ground_no2,satellite_no2,curr_temp_celsius,curr_surface_net_solar_radiation,curr_surface_pressure,curr_boundary_layer_height,prev_temp_celsius,prev_surface_net_solar_radiation,prev_surface_pressure,prev_boundary_layer_height,prev_wind_dir
2022-03-28,51.328509090909094,0.0003532539914638909,22.367823190400117,1948748.3909090909,100492.83418181818,1755.8465454545455,13.694169175329309,600286.7054545454,100674.90000000001,396.5632754545455,5
2022-03-29,30.474672727272722,0.00015332307833117086,19.0197517163826,1839021.8636363635,99477.77627272726,1423.225590909091,13.040988335727684,552378.3554545455,99705.80454545455,372.62398454545456,4
2022-04-01,18.6898,8.190525547451923e-05,12.542454020182314,1254074.6,96860.15,1236.3705,9.815789794921898,355542.78,96940.53,349.70868,5
2022-04-03,16.9212,6.658950497372322e-05,11.364404296875025,1726847.5,99856.34,1589.7347,7.580332808061102,579276.25,99764.5,588.3775,4
2022-04-05,30.21829090909091,0.00015707577493653065,17.47838837594699,2018666.2272727273,99414.71227272727,995.5931827272726,9.964668917064847,644490.9581818182,99577.09227272727,311.97433181818184,8
2022-04-06,29.149309090909092,0.00021313253836213636,17.015403423887335,1409663.6181818182,99134.1958181818,1274.0916818181818,11.519518210671189,514685.03454545455,99256.75181818182,330.5698518181818,4
2022-04-07,25.68453333333333,0.00011085269663217152,19.124056328667557,1279970.2833333334,98587.34666666668,1958.0796083333335,12.734029041637095,552394.8833333334,98726.185,412.0869883333333,1
2022-04-08,24.601066666666664,0.0001865048125115885,21.847935824924065,1614186.6333333335,98420.29125,1171.09155,14.913498410311634,582233.9066666666,98507.31833333331,390.3140375,1
2022-04-09,13.564577777777778,4.0128938784033664e-05,17.292956712510875,1873130.625,98619.65708333334,2015.1403083333332,12.979350488836138,656916.075,98678.04166666667,1079.1522166666666,7
2022-04-10,14.461672727272726,7.3638486658729e-05,16.9714470140862,2080960.5363636361,99980.67090909091,2056.390009090909,10.324452499515775,686911.7181818181,100077.34,566.4503090909091,8
2022-04-11,28.648133333333334,0.00020562848617186526,18.902758110894123,2013791.6083333334,100321.94791666667,1881.6611083333335,12.091572986949595,671444.6666666666,100388.69583333332,592.4203066666666,8
2022-04-12,26.40817222222222,0.00016800206850119167,19.9481148613824,1991268.2083333333,100162.30833333333,1586.5407416666667,13.558542910489193,609128.5041666667,100268.71333333333,478.3731583333333,2
2022-04-13,24.547472727272726,0.00018939076398668183,20.996843187736765,2069948.8272727272,100117.22327272728,1338.3505363636361,14.927250583112755,668246.3772727272,100224.61863636364,415.26824181818176,4
2022-04-14,33.69236111111111,0.00018649944199549575,23.95802205403648,2027679.9416666667,100108.55583333333,1384.7561750000002,15.809833202940068,693164.28,100245.15750000002,371.9567666666667,5
2022-04-15,34.065466666666666,0.00022965980605271666,25.085199822319897,2054690.508333333,100039.44666666667,1126.4655416666667,17.70926437377932,690060.9583333334,100201.31666666667,341.6165616666667,4
2022-04-16,19.163816666666666,7.316235270298618e-05,23.217107815212696,1884327.0,99888.96583333332,2206.29235,17.413703363591996,683404.6408333333,100114.23999999999,625.3174183333333,4
2022-04-17,11.176509090909091,5.9151448267174e-05,18.108331298828148,2060562.0545454544,100015.59272727273,1223.3334545454545,13.987202113127928,512004.26,100276.19090909092,793.2134545454545,4
2022-04-18,13.46221818181818,8.27873328336053e-05,19.4079695268111,2165197.1363636362,99580.54500000001,1384.0735636363636,13.802757780216963,671126.1354545455,99838.78363636365,591.6019054545454,4
2022-04-19,22.227,0.00011126859738520011,22.091387569543112,2154218.509090909,99007.80281818182,1615.4254545454546,14.27239304219398,720493.3927272727,99311.80090909092,533.7670390909091,2
2022-04-24,10.6594,5.3757008795662495e-05,14.587375895182314,1349554.5333333332,98739.42,991.4714,11.812247906309208,336298.86333333334,98707.97666666667,368.68120333333337,4
2022-04-26,16.9929,9.509737772497628e-05,17.405725097656273,1398594.2000000002,99441.73000000001,985.6512299999999,13.896881935813234,474013.11,99465.39749999999,291.343395,8
2022-04-27,24.350116666666665,0.00016744286748835148,21.40453067355688,2150142.5333333337,100101.32083333332,1280.9733250000002,15.004562169855314,669893.7466666667,100114.59249999998,422.26774666666665,4
2022-04-28,19.159833333333335,0.00011490966808929922,21.83333401150176,2087984.55,100508.68416666666,1476.4897583333332,16.43031324906785,628074.7416666666,100601.85583333333,576.6922033333334,4
2022-04-29,19.789199999999997,0.00014336601217710977,21.48661278618709,1855011.008333333,100533.51666666666,1638.3378,16.937980212587323,517223.7833333334,100707.35666666667,589.1989166666667,4
2022-04-30,18.129236363636366,7.631844758206502e-05,20.88682176994557,1543036.5818181818,100145.7669090909,1952.8451363636364,16.694862630544637,600213.6,100299.45272727273,604.9584363636363,5
2022-05-01,12.909983333333335,5.415856313988613e-05,22.260278320312523,1988433.0333333332,99757.14208333334,1975.0460916666668,16.691531811338503,699026.3033333333,99924.9875,753.3878283333333,5
2022-05-02,19.87046,0.0001036991487281075,22.707224527994814,1919279.85,99578.995,2173.71865,16.833969532359752,707128.2339999999,99726.3965,670.154914,4
2022-05-04,27.253966666666667,0.00017682142892476666,20.140824042426235,1672879.8666666665,99921.00166666666,1342.2424833333334,16.6291398944277,502168.25,99932.44333333334,356.33993333333336,6
2022-05-09,22.139366666666664,0.0001347207915320108,24.115208774142815,1806510.9249999998,100475.65666666668,1631.03885,19.015712183172077,695664.4049999999,100546.56208333334,486.3211241666667,5
2022-05-10,22.736866666666668,0.00011106121506127795,26.640112813313824,1965356.0,100288.36750000001,1828.725091666667,20.257651034268488,726819.9049999999,100405.44750000001,526.236005,1
2022-05-11,20.606145454545455,9.282275802993444e-05,28.196434622099925,1969806.281818182,100155.7630909091,1570.534918181818,21.69151881194314,735524.7181818183,100270.8690909091,491.27583727272724,1
2022-05-12,18.846236363636365,7.778358277778755e-05,28.868221768465933,2130395.3636363638,100166.66636363637,1400.2152727272728,21.80660740876003,760494.3363636364,100295.05227272726,511.05482545454544,1
2022-05-13,16.925545454545457,7.27692838327692e-05,28.92194657759235,1918442.2454545454,100003.35636363635,1520.158081818182,21.860951270741886,688135.3345454546,100164.77818181818,454.20050090909086,1
2022-05-14,15.51761818181818,6.66771883577067e-05,29.229942922881182,1994520.9272727272,99999.16363636364,1730.5462272727273,22.875037276843383,727662.0790909091,100118.89545454546,468.5153018181818,1
2022-05-15,12.85342,6.378547153575905e-05,29.61824137369794,1623737.2100000002,99919.481,1575.0219,23.458618857643845,632534.347,100098.11600000001,383.645721,1
2022-05-16,16.27372727272727,6.168412004534206e-05,29.557588889382124,2045055.6454545455,99969.1390909091,1983.4059181818184,23.477197265625023,746979.3272727273,100120.60181818182,501.8857372727273,1
